parent_code,calculation_month,snop_month,fc_kl
706090,2025-04-01,2025-08-01,210.741075
706090,2025-04-01,2025-09-01,230.83741475
707066,2026-03-01,2026-04-01,23.0
707066,2026-03-01,2026-05-01,12.01207091985483
707066,2026-03-01,2026-06-01,12.02068979973262
707066,2026-03-01,2026-07-01,13.69134418231586
707066,2026-03-01,2026-08-01,13.69134418231586
707066,2026-02-01,2026-04-01,23.0
707066,2026-02-01,2026-05-01,12.01207091985483
707066,2026-02-01,2026-06-01,12.02068979973262
707066,2026-02-01,2026-07-01,13.69134418231586
707066,2026-02-01,2027-03-01,13.71140002701196
707066,2026-01-01,2026-04-01,23.11460016799994
707066,2026-01-01,2026-05-01,11.70210016799996
707066,2026-01-01,2026-06-01,11.93990016799998
707066,2026-01-01,2027-02-01,13.02924470417113
707066,2026-01-01,2027-03-01,15.41450019501196
707066,2025-12-01,2025-04-01,21.4
707066,2025-12-01,2025-05-01,11.233100168
707066,2025-12-01,2026-01-01,7.506192767788233
707066,2025-12-01,2026-02-01,8.712418873977793
707066,2025-12-01,2026-03-01,10.54723079000924
707066,2025-11-01,2025-04-01,11.233100168
707066,2025-11-01,2025-12-01,8.973202269438417
707066,2025-11-01,2026-01-01,7.506192767788233
707066,2025-11-01,2026-02-01,8.712418873977793
707066,2025-11-01,2026-03-01,10.54723079000924
707066,2025-10-01,2025-11-01,7.723167131659535
707066,2025-10-01,2025-12-01,8.973202269438417
707066,2025-10-01,2026-01-01,7.506192767788233
707066,2025-10-01,2026-02-01,8.712418873977793
707066,2025-10-01,2026-03-01,10.54723079000924
707066,2025-09-01,2025-10-01,7.999760823641966
707066,2025-09-01,2025-11-01,7.723167131659535
707066,2025-09-01,2025-12-01,8.973202269438417
707066,2025-09-01,2026-01-01,7.506192767788233
707066,2025-09-01,2026-02-01,8.712418873977793
707066,2025-08-01,2025-09-01,9.641237598474488
707066,2025-08-01,2025-10-01,7.999760823641966
707066,2025-08-01,2025-11-01,7.723167131659535
707066,2025-08-01,2025-12-01,9.0
707066,2025-08-01,2026-01-01,7.5
707066,2025-07-01,2025-08-01,8.463904903055116
707066,2025-07-01,2025-09-01,9.641237598474488
707066,2025-07-01,2025-10-01,7.999760823641966
707066,2025-07-01,2025-11-01,7.723167131659535
707066,2025-07-01,2025-12-01,9.0
707066,2025-06-01,2025-07-01,10.0552805858125
707066,2025-06-01,2025-08-01,8.463904903055116
707066,2025-06-01,2025-09-01,9.641237598474488
707066,2025-06-01,2025-10-01,7.999760823641966
707066,2025-06-01,2025-11-01,7.723167131659535
707066,2025-05-01,2025-06-01,9.962468957268479
707066,2025-05-01,2025-07-01,10.0552805858125
707066,2025-05-01,2025-08-01,8.463904903055116
707066,2025-05-01,2025-09-01,9.641237598474488
707066,2025-05-01,2025-10-01,8.0
707066,2025-04-01,2025-05-01,10.080717846969
707066,2025-04-01,2025-06-01,9.962468957268479
707066,2025-04-01,2025-07-01,10.0552805858125
707066,2025-04-01,2025-08-01,8.463904903055116
707066,2025-04-01,2025-09-01,9.641237598474488
707719,2026-03-01,2026-04-01,74.97617779368422
707719,2026-03-01,2026-05-01,45.07571304
707719,2026-03-01,2026-06-01,80.06865632
707719,2026-03-01,2026-07-01,42.12086298
707719,2026-03-01,2026-08-01,65.3218904
707719,2026-02-01,2026-04-01,80.08519972036098
707719,2026-02-01,2026-05-01,100.86019673907522
707719,2026-02-01,2026-06-01,55.092270137187406
707719,2026-02-01,2026-07-01,45.108478831092945
707719,2026-02-01,2027-03-01,103.24302366183038
707719,2026-01-01,2026-04-01,80.0
707719,2026-01-01,2026-05-01,70.77768421052632
707719,2026-01-01,2026-06-01,85.0
707719,2026-01-01,2027-02-01,50.555876184416135
707719,2026-01-01,2027-03-01,105.487978082883
707719,2025-12-01,2025-04-01,75.0
707719,2025-12-01,2025-05-01,65.46105263157895
707719,2025-12-01,2026-01-01,86.94560766315792
707719,2025-12-01,2026-02-01,50.39688671073193
707719,2025-12-01,2026-03-01,105.487978082883
707719,2025-11-01,2025-04-01,55.130603605540806
707719,2025-11-01,2025-12-01,66.36243900000001
707719,2025-11-01,2026-01-01,85.78092104020526
707719,2025-11-01,2026-02-01,50.39688671073193
707719,2025-11-01,2026-03-01,106.50860966183038
707719,2025-10-01,2025-11-01,92.49612494736843
707719,2025-10-01,2025-12-01,61.46916
707719,2025-10-01,2026-01-01,85.71808
707719,2025-10-01,2026-02-01,55.1716
707719,2025-10-01,2026-03-01,95.264
707719,2025-09-01,2025-10-01,57.449600000000004
707719,2025-09-01,2025-11-01,91.70610526315791
707719,2025-09-01,2025-12-01,61.3584
707719,2025-09-01,2026-01-01,85.76
707719,2025-09-01,2026-02-01,55.0
707719,2025-08-01,2025-09-01,77.1184
707719,2025-08-01,2025-10-01,56.5904
707719,2025-08-01,2025-11-01,91.5392
707719,2025-08-01,2025-12-01,56.1184
707719,2025-08-01,2026-01-01,85.76
707719,2025-07-01,2025-08-01,55.93456
707719,2025-07-01,2025-09-01,87.25244
707719,2025-07-01,2025-10-01,56.98044
707719,2025-07-01,2025-11-01,91.87324
707719,2025-07-01,2025-12-01,56.02012
707719,2025-06-01,2025-07-01,95.2096
707719,2025-06-01,2025-08-01,55.9168
707719,2025-06-01,2025-09-01,97.1168
707719,2025-06-01,2025-10-01,56.592
707719,2025-06-01,2025-11-01,91.5392
707719,2025-05-01,2025-06-01,42.21313439885677
707719,2025-05-01,2025-07-01,95.21102076439465
707719,2025-05-01,2025-08-01,55.21145857523608
707719,2025-05-01,2025-09-01,96.75014660504193
707719,2025-05-01,2025-10-01,56.750146605041934
707719,2025-04-01,2025-05-01,95.21313439885677
707719,2025-04-01,2025-06-01,54.97503916076155
707719,2025-04-01,2025-07-01,95.21102076439465
707719,2025-04-01,2025-08-01,55.21145857523608
707719,2025-04-01,2025-09-01,90.84173186265572
707789,2026-03-01,2026-04-01,1.145703132557434
707789,2026-03-01,2026-05-01,1.266150953614714
707789,2026-03-01,2026-06-01,1.230017273394844
707789,2026-03-01,2026-07-01,1.217971788971759
707789,2026-03-01,2026-08-01,1.128472149857391
707789,2026-02-01,2026-04-01,1.077520314894171
707789,2026-02-01,2026-05-01,1.324741963566215
707789,2026-02-01,2026-06-01,1.324568398576795
707789,2026-02-01,2026-07-01,1.324234684249311
707789,2026-02-01,2027-03-01,1.883131362580209
707789,2026-01-01,2026-04-01,1.526965853588307
707789,2026-01-01,2026-05-01,1.486793949145605
707789,2026-01-01,2026-06-01,1.486880191969025
707789,2026-01-01,2027-02-01,1.887467618208
707789,2026-01-01,2027-03-01,2.435227454595045
707789,2025-12-01,2025-04-01,0.9736269848434591
707789,2025-12-01,2025-05-01,1.576130598614933
707789,2025-12-01,2026-01-01,1.49462444353167
707789,2025-12-01,2026-02-01,1.815499192661996
707789,2025-12-01,2026-03-01,1.604207144039038
707789,2025-11-01,2025-04-01,0.6875785868239839
707789,2025-11-01,2025-12-01,1.51595533957028
707789,2025-11-01,2026-01-01,1.580755592146055
707789,2025-11-01,2026-02-01,1.584045016724669
707789,2025-11-01,2026-03-01,1.573314280715763
707789,2025-10-01,2025-11-01,1.812610999834692
707789,2025-10-01,2025-12-01,1.718328170494888
707789,2025-10-01,2026-01-01,1.911076566259799
707789,2025-10-01,2026-02-01,1.926558636251449
707789,2025-10-01,2026-03-01,1.938708826101786
707789,2025-09-01,2025-10-01,1.674270600270658
707789,2025-09-01,2025-11-01,1.69382947972841
707789,2025-09-01,2025-12-01,1.869535721241695
707789,2025-09-01,2026-01-01,1.980384233818559
707789,2025-09-01,2026-02-01,1.884225058428531
707789,2025-08-01,2025-09-01,1.824937995210209
707789,2025-08-01,2025-10-01,1.678470600270658
707789,2025-08-01,2025-11-01,2.098029479728406
707789,2025-08-01,2025-12-01,1.9042
707789,2025-08-01,2026-01-01,2.0042
707789,2025-07-01,2025-08-01,1.740339033775379
707789,2025-07-01,2025-09-01,1.657345769344859
707789,2025-07-01,2025-10-01,1.668958433950498
707789,2025-07-01,2025-11-01,1.899130474544974
707789,2025-07-01,2025-12-01,1.738406739670414
707789,2025-06-01,2025-07-01,0.8896706494594412
707789,2025-06-01,2025-08-01,1.696716557498695
707789,2025-06-01,2025-09-01,1.781069305862296
707789,2025-06-01,2025-10-01,1.810061632484702
707789,2025-06-01,2025-11-01,1.810061632484702
707789,2025-05-01,2025-06-01,2.004919365905133
707789,2025-05-01,2025-07-01,1.862117742757338
707789,2025-05-01,2025-08-01,2.589148312827438
707789,2025-05-01,2025-09-01,1.820737995210209
707789,2025-05-01,2025-10-01,1.7042
707789,2025-04-01,2025-05-01,2.491769425899228
707789,2025-04-01,2025-06-01,2.004919365905133
707789,2025-04-01,2025-07-01,1.862117742757338
707789,2025-04-01,2025-08-01,2.589148312827438
707789,2025-04-01,2025-09-01,1.820737995210209
707905,2026-03-01,2026-04-01,120.0
707905,2026-03-01,2026-05-01,100.0
707905,2026-03-01,2026-06-01,100.0
707905,2026-03-01,2026-07-01,74.0
707905,2026-03-01,2026-08-01,80.0
707905,2026-02-01,2026-04-01,135.0
707905,2026-02-01,2026-05-01,110.0
707905,2026-02-01,2026-06-01,105.0
707905,2026-02-01,2026-07-01,80.0
707905,2026-02-01,2027-03-01,110.5
707905,2026-01-01,2026-04-01,120.0
707905,2026-01-01,2026-05-01,110.0
707905,2026-01-01,2026-06-01,105.0
707905,2026-01-01,2027-02-01,105.0
707905,2026-01-01,2027-03-01,115.0
707905,2025-12-01,2025-04-01,120.0
707905,2025-12-01,2025-05-01,100.0
707905,2025-12-01,2026-01-01,100.0
707905,2025-12-01,2026-02-01,105.0
707905,2025-12-01,2026-03-01,115.0
707905,2025-11-01,2025-04-01,105.0
707905,2025-11-01,2025-12-01,110.0
707905,2025-11-01,2026-01-01,100.0
707905,2025-11-01,2026-02-01,105.0
707905,2025-11-01,2026-03-01,115.0
707905,2025-10-01,2025-11-01,90.0
707905,2025-10-01,2025-12-01,110.0
707905,2025-10-01,2026-01-01,85.0
707905,2025-10-01,2026-02-01,105.0
707905,2025-10-01,2026-03-01,115.0
707905,2025-09-01,2025-10-01,100.0
707905,2025-09-01,2025-11-01,90.0
707905,2025-09-01,2025-12-01,110.0
707905,2025-09-01,2026-01-01,85.0
707905,2025-09-01,2026-02-01,105.0
707905,2025-08-01,2025-09-01,115.0
707905,2025-08-01,2025-10-01,115.0
707905,2025-08-01,2025-11-01,85.0
707905,2025-08-01,2025-12-01,120.0
707905,2025-08-01,2026-01-01,85.0
707905,2025-07-01,2025-08-01,90.0
707905,2025-07-01,2025-09-01,115.0
707905,2025-07-01,2025-10-01,115.0
707905,2025-07-01,2025-11-01,85.0
707905,2025-07-01,2025-12-01,120.0
707905,2025-06-01,2025-07-01,105.0
707905,2025-06-01,2025-08-01,90.0
707905,2025-06-01,2025-09-01,105.0
707905,2025-06-01,2025-10-01,115.0
707905,2025-06-01,2025-11-01,85.0
707905,2025-05-01,2025-06-01,100.0
707905,2025-05-01,2025-07-01,105.0
707905,2025-05-01,2025-08-01,90.0
707905,2025-05-01,2025-09-01,105.0
707905,2025-05-01,2025-10-01,115.0
707905,2025-04-01,2025-05-01,100.0
707905,2025-04-01,2025-06-01,85.0
707905,2025-04-01,2025-07-01,105.0
707905,2025-04-01,2025-08-01,90.0
707905,2025-04-01,2025-09-01,105.0
707936,2026-03-01,2026-04-01,0.9231381700618366
707936,2026-03-01,2026-05-01,1.043659835596241
707936,2026-03-01,2026-06-01,1.075074893351206
707936,2026-03-01,2026-07-01,1.094610353543389
707936,2026-03-01,2026-08-01,0.9387746965389928
707936,2026-02-01,2026-04-01,1.186647229280253
707936,2026-02-01,2026-05-01,1.226518898133506
707936,2026-02-01,2026-06-01,1.226721103981555
707936,2026-02-01,2026-07-01,1.226773768527189
707936,2026-02-01,2027-03-01,1.235171462333322
707936,2026-01-01,2026-04-01,0.9255905980465046
707936,2026-01-01,2026-05-01,1.27208612776484
707936,2026-01-01,2026-06-01,1.213481140487521
707936,2026-01-01,2027-02-01,1.827175443968
707936,2026-01-01,2027-03-01,2.395903627961943
707936,2025-12-01,2025-04-01,0.965726436872094
707936,2025-12-01,2025-05-01,1.200686322919726
707936,2025-12-01,2026-01-01,1.13198778920111
707936,2025-12-01,2026-02-01,1.104324205755617
707936,2025-12-01,2026-03-01,1.181170518487938
707936,2025-11-01,2025-04-01,1.017501797041635
707936,2025-11-01,2025-12-01,1.369886939569718
707936,2025-11-01,2026-01-01,1.430344468195499
707936,2025-11-01,2026-02-01,1.910228519965978
707936,2025-11-01,2026-03-01,1.87510860683842
707936,2025-10-01,2025-11-01,1.436330832547915
707936,2025-10-01,2025-12-01,1.518216366426721
707936,2025-10-01,2026-01-01,1.391884585236224
707936,2025-10-01,2026-02-01,1.456019616799268
707936,2025-10-01,2026-03-01,1.405553959745771
707936,2025-09-01,2025-10-01,1.883666678741081
707936,2025-09-01,2025-11-01,1.39914719232094
707936,2025-09-01,2025-12-01,1.550715642089951
707936,2025-09-01,2026-01-01,1.814696311910784
707936,2025-09-01,2026-02-01,1.521953113732738
707936,2025-08-01,2025-09-01,1.490929246841424
707936,2025-08-01,2025-10-01,1.531973433673689
707936,2025-08-01,2025-11-01,1.474959490914439
707936,2025-08-01,2025-12-01,1.586592214100259
707936,2025-08-01,2026-01-01,1.493798783207694
707936,2025-07-01,2025-08-01,1.547106311972607
707936,2025-07-01,2025-09-01,1.414301147129871
707936,2025-07-01,2025-10-01,1.466219290060528
707936,2025-07-01,2025-11-01,1.475118759183623
707936,2025-07-01,2025-12-01,1.563366849042134
707936,2025-06-01,2025-07-01,0.3553671428654966
707936,2025-06-01,2025-08-01,1.326648370460417
707936,2025-06-01,2025-09-01,1.326648370460417
707936,2025-06-01,2025-10-01,1.347042783585849
707936,2025-06-01,2025-11-01,1.326648370460417
707936,2025-05-01,2025-06-01,1.972544114300016
707936,2025-05-01,2025-07-01,1.832048438492374
707936,2025-05-01,2025-08-01,2.547338986479339
707936,2025-05-01,2025-09-01,1.79133688726325
707936,2025-05-01,2025-10-01,1.6028
707936,2025-04-01,2025-05-01,2.451532564767906
707936,2025-04-01,2025-06-01,1.972544114300016
707936,2025-04-01,2025-07-01,1.832048438492374
707936,2025-04-01,2025-08-01,2.547338986479339
707936,2025-04-01,2025-09-01,1.79133688726325
707989,2026-03-01,2026-04-01,34.0
