calculation_month,snop_month,parent_code,parent_description,qty,source
2025-09,2026-02,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-10,2026-02,703584,PCNO ADV 300ml FT,0.0,ml
2025-10,2026-02,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-11,2026-02,703584,PCNO ADV 300ml FT,0.000274667,ml
2025-11,2026-02,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-12,2026-02,703584,PCNO ADV 300ml FT,0.000274667,ml
2025-12,2026-02,703584,PCNO ADV 300ml FT,1.496027962,tm
2026-01,2026-02,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-10,2026-03,703584,PCNO ADV 300ml FT,0.0,ml
2025-10,2026-03,703584,PCNO ADV 300ml FT,1.496027962,tm
2025-11,2026-03,703584,PCNO ADV 300ml FT,0.000274667,ml
2025-11,2026-03,703584,PCNO ADV 300ml FT,2.244041943,tm
2025-12,2026-03,703584,PCNO ADV 300ml FT,0.000274667,ml
2025-12,2026-03,703584,PCNO ADV 300ml FT,2.244041943,tm
2026-01,2026-03,703584,PCNO ADV 300ml FT,2.244041943,tm
2026-02,2026-03,703584,PCNO ADV 300ml FT,0.0,ml
2026-02,2026-03,703584,PCNO ADV 300ml FT,2.244041943,tm
2025-11,2026-04,703584,PCNO ADV 300ml FT,0.000274667,ml
2025-11,2026-04,703584,PCNO ADV 300ml FT,2.0,tm
2025-12,2026-04,703584,PCNO ADV 300ml FT,0.000274667,ml
2025-12,2026-04,703584,PCNO ADV 300ml FT,2.3,tm
2026-01,2026-04,703584,PCNO ADV 300ml FT,2.8,tm
2026-02,2026-04,703584,PCNO ADV 300ml FT,0.0,ml
2026-02,2026-04,703584,PCNO ADV 300ml FT,2.3,tm
2026-03,2026-04,703584,PCNO ADV 300ml FT,0.0,ml
2026-03,2026-04,703584,PCNO ADV 300ml FT,2.3,tm
2025-12,2026-05,703584,PCNO ADV 300ml FT,0.000274667,ml
2025-12,2026-05,703584,PCNO ADV 300ml FT,3.0,tm
2026-01,2026-05,703584,PCNO ADV 300ml FT,3.6,tm
2026-02,2026-05,703584,PCNO ADV 300ml FT,0.0,ml
2026-02,2026-05,703584,PCNO ADV 300ml FT,4.5,tm
2026-03,2026-05,703584,PCNO ADV 300ml FT,0.0,ml
2026-03,2026-05,703584,PCNO ADV 300ml FT,2.95,tm
2026-04,2026-05,703584,PCNO ADV 300ml FT,3.128796021,ml
2026-04,2026-05,703584,PCNO ADV 300ml FT,2.95,tm
2026-01,2026-06,703584,PCNO ADV 300ml FT,2.8,tm
2026-02,2026-06,703584,PCNO ADV 300ml FT,0.0,ml
2026-02,2026-06,703584,PCNO ADV 300ml FT,2.2,tm
2026-03,2026-06,703584,PCNO ADV 300ml FT,0.0,ml
2026-03,2026-06,703584,PCNO ADV 300ml FT,2.2,tm
2026-04,2026-06,703584,PCNO ADV 300ml FT,1.923433183,ml
2026-04,2026-06,703584,PCNO ADV 300ml FT,2.2,tm
2026-05,2026-06,703584,PCNO ADV 300ml FT,0.0,ml
2026-05,2026-06,703584,PCNO ADV 300ml FT,2.2,tm
2026-02,2026-07,703584,PCNO ADV 300ml FT,0.0,ml
2026-02,2026-07,703584,PCNO ADV 300ml FT,2.244041943,tm
2026-03,2026-07,703584,PCNO ADV 300ml FT,0.0,ml
2026-03,2026-07,703584,PCNO ADV 300ml FT,2.2,tm
2026-04,2026-07,703584,PCNO ADV 300ml FT,2.10882608,ml
2026-04,2026-07,703584,PCNO ADV 300ml FT,2.2,tm
2026-05,2026-07,703584,PCNO ADV 300ml FT,0.0,ml
2026-05,2026-07,703584,PCNO ADV 300ml FT,2.2,tm
2026-06,2026-07,703584,PCNO ADV 300ml FT,0.0,ml
2026-06,2026-07,703584,PCNO ADV 300ml FT,2.0,tm
2026-03,2026-08,703584,PCNO ADV 300ml FT,0.0,ml
2026-03,2026-08,703584,PCNO ADV 300ml FT,2.95,tm
2026-04,2026-08,703584,PCNO ADV 300ml FT,1.999259684,ml
2026-04,2026-08,703584,PCNO ADV 300ml FT,2.95,tm
2026-05,2026-08,703584,PCNO ADV 300ml FT,0.0,ml
2026-05,2026-08,703584,PCNO ADV 300ml FT,2.95,tm
2026-06,2026-08,703584,PCNO ADV 300ml FT,0.0,ml
2026-06,2026-08,703584,PCNO ADV 300ml FT,2.8,tm
2026-07,2026-08,703584,PCNO ADV 300ml FT,0.0,ml
2026-07,2026-08,703584,PCNO ADV 300ml FT,2.8,tm
2026-04,2026-09,703584,PCNO ADV 300ml FT,2.581213349,ml
2026-04,2026-09,703584,PCNO ADV 300ml FT,2.2,tm
2026-05,2026-09,703584,PCNO ADV 300ml FT,0.0,ml
2026-05,2026-09,703584,PCNO ADV 300ml FT,2.2,tm
2026-06,2026-09,703584,PCNO ADV 300ml FT,0.0,ml
2026-06,2026-09,703584,PCNO ADV 300ml FT,2.2,tm
2026-07,2026-09,703584,PCNO ADV 300ml FT,0.0,ml
2026-07,2026-09,703584,PCNO ADV 300ml FT,2.2,tm
2026-05,2026-10,703584,PCNO ADV 300ml FT,0.0,ml
2026-05,2026-10,703584,PCNO ADV 300ml FT,2.2,tm
2026-06,2026-10,703584,PCNO ADV 300ml FT,0.0,ml
2026-06,2026-10,703584,PCNO ADV 300ml FT,2.2,tm
2026-07,2026-10,703584,PCNO ADV 300ml FT,0.0,ml
2026-07,2026-10,703584,PCNO ADV 300ml FT,2.2,tm
2026-06,2026-11,703584,PCNO ADV 300ml FT,0.0,ml
2026-06,2026-11,703584,PCNO ADV 300ml FT,2.2,tm
2026-07,2026-11,703584,PCNO ADV 300ml FT,0.0,ml
2026-07,2026-11,703584,PCNO ADV 300ml FT,2.2,tm
2026-07,2026-12,703584,PCNO ADV 300ml FT,0.0,ml
2026-07,2026-12,703584,PCNO ADV 300ml FT,2.2,tm
2025-04,2025-05,706059,PCNO 100ml FT BOT NEW PB,228.1400526,ml
2025-04,2025-05,706059,PCNO 100ml FT BOT NEW PB,190.241342151,tm
2025-04,2025-06,706059,PCNO 100ml FT BOT NEW PB,355.7410081,ml
2025-04,2025-06,706059,PCNO 100ml FT BOT NEW PB,340.241342151,tm
2025-05,2025-06,706059,PCNO 100ml FT BOT NEW PB,320.5585824,ml
2025-05,2025-06,706059,PCNO 100ml FT BOT NEW PB,335.241342151,tm
2025-04,2025-07,706059,PCNO 100ml FT BOT NEW PB,177.9238431,ml
2025-04,2025-07,706059,PCNO 100ml FT BOT NEW PB,220.238948783,tm
2025-05,2025-07,706059,PCNO 100ml FT BOT NEW PB,170.794652,ml
2025-05,2025-07,706059,PCNO 100ml FT BOT NEW PB,220.238948783,tm
2025-06,2025-07,706059,PCNO 100ml FT BOT NEW PB,183.9827228,ml
2025-06,2025-07,706059,PCNO 100ml FT BOT NEW PB,220.239,tm
2025-04,2025-08,706059,PCNO 100ml FT BOT NEW PB,243.8258888,ml
2025-04,2025-08,706059,PCNO 100ml FT BOT NEW PB,360.239444537,tm
2025-05,2025-08,706059,PCNO 100ml FT BOT NEW PB,260.6452507,ml
2025-05,2025-08,706059,PCNO 100ml FT BOT NEW PB,360.239444537,tm
2025-06,2025-08,706059,PCNO 100ml FT BOT NEW PB,282.8282421,ml
2025-06,2025-08,706059,PCNO 100ml FT BOT NEW PB,361.13,tm
2025-07,2025-08,706059,PCNO 100ml FT BOT NEW PB,231.4536159,ml
2025-07,2025-08,706059,PCNO 100ml FT BOT NEW PB,351.1431,tm
2025-04,2025-09,706059,PCNO 100ml FT BOT NEW PB,256.7711746,ml
2025-04,2025-09,706059,PCNO 100ml FT BOT NEW PB,190.695622379,tm
2025-05,2025-09,706059,PCNO 100ml FT BOT NEW PB,238.7117806,ml
2025-05,2025-09,706059,PCNO 100ml FT BOT NEW PB,191.981773698,tm
2025-06,2025-09,706059,PCNO 100ml FT BOT NEW PB,245.2182324,ml
2025-06,2025-09,706059,PCNO 100ml FT BOT NEW PB,192.6518,tm
2025-07,2025-09,706059,PCNO 100ml FT BOT NEW PB,155.8378658,ml
2025-07,2025-09,706059,PCNO 100ml FT BOT NEW PB,282.7459,tm
2025-08,2025-09,706059,PCNO 100ml FT BOT NEW PB,226.1664515,ml
2025-08,2025-09,706059,PCNO 100ml FT BOT NEW PB,292.652,tm
2025-05,2025-10,706059,PCNO 100ml FT BOT NEW PB,256.167001,ml
2025-05,2025-10,706059,PCNO 100ml FT BOT NEW PB,331.981773698,tm
2025-06,2025-10,706059,PCNO 100ml FT BOT NEW PB,258.2849438,ml
2025-06,2025-10,706059,PCNO 100ml FT BOT NEW PB,332.4248,tm
2025-07,2025-10,706059,PCNO 100ml FT BOT NEW PB,219.643511,ml
2025-07,2025-10,706059,PCNO 100ml FT BOT NEW PB,302.4139,tm
2025-08,2025-10,706059,PCNO 100ml FT BOT NEW PB,257.0027746,ml
2025-08,2025-10,706059,PCNO 100ml FT BOT NEW PB,302.426,tm
2025-09,2025-10,706059,PCNO 100ml FT BOT NEW PB,268.1474541,ml
2025-09,2025-10,706059,PCNO 100ml FT BOT NEW PB,273.058,tm
2025-06,2025-11,706059,PCNO 100ml FT BOT NEW PB,161.1682582,ml
2025-06,2025-11,706059,PCNO 100ml FT BOT NEW PB,182.0704,tm
2025-07,2025-11,706059,PCNO 100ml FT BOT NEW PB,158.4970129,ml
2025-07,2025-11,706059,PCNO 100ml FT BOT NEW PB,222.2819,tm
2025-08,2025-11,706059,PCNO 100ml FT BOT NEW PB,136.7025641,ml
2025-08,2025-11,706059,PCNO 100ml FT BOT NEW PB,222.07,tm
2025-09,2025-11,706059,PCNO 100ml FT BOT NEW PB,141.695939,ml
2025-09,2025-11,706059,PCNO 100ml FT BOT NEW PB,202.67,tm
2025-10,2025-11,706059,PCNO 100ml FT BOT NEW PB,139.1454264,ml
2025-10,2025-11,706059,PCNO 100ml FT BOT NEW PB,202.768,tm
2025-07,2025-12,706059,PCNO 100ml FT BOT NEW PB,221.8289854,ml
2025-07,2025-12,706059,PCNO 100ml FT BOT NEW PB,341.46,tm
2025-08,2025-12,706059,PCNO 100ml FT BOT NEW PB,310.0033018,ml
2025-08,2025-12,706059,PCNO 100ml FT BOT NEW PB,341.34,tm
2025-09,2025-12,706059,PCNO 100ml FT BOT NEW PB,310.7938232,ml
2025-09,2025-12,706059,PCNO 100ml FT BOT NEW PB,341.54,tm
2025-10,2025-12,706059,PCNO 100ml FT BOT NEW PB,300.1087075,ml
2025-10,2025-12,706059,PCNO 100ml FT BOT NEW PB,342.0178,tm
2025-11,2025-12,706059,PCNO 100ml FT BOT NEW PB,297.0822268,ml
2025-11,2025-12,706059,PCNO 100ml FT BOT NEW PB,342.351707153,tm
2025-08,2026-01,706059,PCNO 100ml FT BOT NEW PB,146.0116113,ml
2025-08,2026-01,706059,PCNO 100ml FT BOT NEW PB,190.834,tm
2025-09,2026-01,706059,PCNO 100ml FT BOT NEW PB,156.461039,ml
2025-09,2026-01,706059,PCNO 100ml FT BOT NEW PB,190.644,tm
2025-10,2026-01,706059,PCNO 100ml FT BOT NEW PB,173.4591727,ml
2025-10,2026-01,706059,PCNO 100ml FT BOT NEW PB,190.8322,tm
2025-11,2026-01,706059,PCNO 100ml FT BOT NEW PB,155.6399213,ml
2025-11,2026-01,706059,PCNO 100ml FT BOT NEW PB,201.00821335999998,tm
2025-12,2026-01,706059,PCNO 100ml FT BOT NEW PB,147.9836227,ml
2025-12,2026-01,706059,PCNO 100ml FT BOT NEW PB,201.278,tm
